iter	MultiClass
273	1.111467934
274	1.108646926
275	1.107180472
276	1.10492377
277	1.102393567
278	1.100506249
279	1.097989471
280	1.094242739
281	1.092196964
282	1.089875305
283	1.087862568
284	1.085690805
285	1.08279837
286	1.08153026
287	1.080642492
288	1.078348712
289	1.075101286
290	1.073566239
291	1.072077721
292	1.069485267
293	1.065418556
294	1.062737815
295	1.060469723
296	1.058781195
297	1.054879939
298	1.053712382
299	1.052392536
300	1.049124882
301	1.047927508
302	1.046334421
303	1.044905791
304	1.042336527
305	1.040501577
306	1.03861356
307	1.035971664
308	1.032776225
309	1.031622107
310	1.030548655
311	1.028438701
312	1.026761568
313	1.023954085
314	1.021663439
315	1.02031608
316	1.017953441
317	1.01633447
318	1.014155408
319	1.011032002
320	1.008412339
321	1.006196251
322	1.004912537
323	1.003420599
324	1.001485539
325	0.9996730641
326	0.9970228564
327	0.9956751385
328	0.9942762542
329	0.9924387045
330	0.9909126554
331	0.9898668999
332	0.9873984205
333	0.986170965
334	0.9834481605
335	0.9815467354
336	0.9794711328
337	0.9785663047
338	0.9755284367
339	0.9739050821
340	0.9720997305
341	0.9699690088
342	0.9686593267
343	0.9663397348
344	0.9652909633
345	0.9637786304
346	0.9614078791
347	0.9594701886
348	0.9581753591
349	0.9563861713
350	0.9551183915
351	0.9535682718
352	0.9509833199
353	0.9499681545
354	0.9485422097
355	0.9467420088
356	0.9455333656
357	0.9441884566
358	0.9423352266
359	0.9410271679
360	0.9396696271
361	0.9387102848
362	0.9369346839
363	0.9351475241
364	0.9320724176
365	0.9300000543
366	0.9284502175
367	0.9270515693
368	0.925502007
369	0.9242706694
370	0.9227907913
371	0.9210021388
372	0.9197571543
373	0.9178828795
374	0.9156830957
375	0.9125569852
376	0.9100043234
377	0.9086033682
378	0.9064559841
379	0.9048127758
380	0.9037431168
381	0.9023362354
382	0.9013864689
383	0.9002065846
384	0.8987055743
385	0.8969317932
386	0.8952814541
387	0.8944208172
388	0.8930061318
389	0.8913269458
390	0.890585215
391	0.8886405856
392	0.8878154066
393	0.8862813415
394	0.8848879562
395	0.8832768008
396	0.8825338088
397	0.8812480051
398	0.8792225729
399	0.8782202966
400	0.8770596007
401	0.875613823
402	0.8746990862
403	0.8729071977
404	0.8711703938
405	0.8700804311
406	0.8687524694
407	0.8679039245
408	0.8667296855
409	0.8652903558
410	0.8636618849
411	0.8619778849
412	0.8609032435
413	0.8597427389
414	0.8585440077
415	0.8567985128
416	0.8548955063
417	0.8528542616
418	0.8513604148
419	0.8497934
420	0.8482967932
421	0.8476866665
422	0.8452215336
423	0.8433159353
424	0.8414482681
425	0.8401127449
426	0.8381349684
427	0.8370909381
428	0.8344688773
429	0.8332770911
430	0.8310582467
431	0.8304350993
432	0.8288497296
433	0.8271545096
434	0.8252411562
435	0.8233133951
436	0.822179498
437	0.8198176771
438	0.818320327
439	0.8167610976
440	0.8156717337
441	0.8142276861
442	0.8130597742
443	0.8113630665
444	0.8099180975
445	0.808061567
446	0.8054878439
447	0.8039704327
448	0.8025888606
449	0.8003171853
450	0.7993465897
451	0.7982981652
452	0.7960126465
453	0.7941286087
454	0.7932598812
455	0.7920217808
456	0.7894320939
457	0.7884915819
458	0.7856976014
459	0.783799383
460	0.7830289346
461	0.781779041
462	0.7801754942
463	0.7787948361
464	0.7776372448
465	0.7764114844
466	0.7753780923
467	0.7744670458
468	0.7732979135
469	0.7715627751
470	0.7704966391
471	0.769080727
472	0.7676854118
473	0.7666725896
474	0.7656378366
475	0.7645799911
476	0.7628968528
477	0.7611672306
478	0.7591382755
479	0.7575125434
480	0.7560842583
481	0.7554124208
482	0.7541282759
483	0.7531399992
484	0.7519356613
485	0.7511854981
486	0.7492662291
487	0.7480047575
488	0.7468755143
489	0.7461635635
490	0.7444851026
491	0.7438825974
492	0.7435666229
493	0.7420402552
494	0.7403826643
495	0.7389788158
496	0.7382156592
497	0.7368915705
498	0.7353364007
499	0.7343484406
500	0.7328920627
501	0.731675067
502	0.730357703
503	0.7292346032
504	0.7280820197
505	0.7266005545
506	0.7247998383
507	0.7237639539
508	0.722001183
509	0.7205403791
510	0.7194296701
511	0.7184560202
512	0.7171951644
513	0.7157644622
514	0.71419311
515	0.712854933
516	0.7119484904
517	0.7107828402
518	0.7095158593
519	0.7080731437
520	0.7059183259
521	0.7049933002
522	0.7039908877
523	0.7030258338
524	0.7024807
525	0.7017465287
526	0.7008461976
527	0.6985136462
528	0.6975608254
529	0.6967071522
530	0.6952403371
531	0.6935584067
532	0.6921060902
533	0.6910335508
534	0.6905534874
535	0.6893415141
536	0.6881481153
537	0.6871691636
538	0.6859722527
539	0.6841670059
540	0.6832705399
541	0.6817786528
542	0.6804169381
543	0.6786952043
544	0.6771466756
545	0.6760635007
546	0.6749149092
547	0.6736960729
548	0.672976578
549	0.6720954132
550	0.6715033271
551	0.6704570917
552	0.6694192801
553	0.6685427422
554	0.6671429088
555	0.6659082647
556	0.6650413689
557	0.6638766681
558	0.6625939448
559	0.6612371703
560	0.6606957687
561	0.6597159022
562	0.658592125
563	0.6573946465
564	0.6563178425
565	0.6548959877
566	0.6541126773
567	0.65318399
568	0.6527782379
569	0.6512334449
570	0.650605803
571	0.6490315551
572	0.6477802666
573	0.6468297257
574	0.6459589799
575	0.6452419554
576	0.6447150504
577	0.6431121584
578	0.6419028339
579	0.6412150267
580	0.6396081277
581	0.6384216087
582	0.6375316762
583	0.6366795195
584	0.6361234517
585	0.6347164863
586	0.6332561145
587	0.6316280569
588	0.6304928257
589	0.6297408561
590	0.6288796265
591	0.6278982412
592	0.6266158956
593	0.6255353164
594	0.6237634517
595	0.6232005641
596	0.6222730361
597	0.6217237033
598	0.6205459765
599	0.6198315746
600	0.6186959175
601	0.6171399514
602	0.6165271874
603	0.615587227
604	0.614881894
605	0.6143111056
606	0.6137932867
607	0.6130845198
608	0.6120926944
609	0.6112322091
610	0.6105966405
611	0.6096080265
612	0.609095855
613	0.607987337
614	0.6070615178
615	0.6050686904
616	0.603966279
617	0.6029967717
618	0.6020005955
619	0.6006433762
620	0.5994159988
621	0.5989096132
622	0.5979800965
623	0.5971968299
624	0.5962106482
625	0.5951358598
626	0.5940695374
627	0.5929937144
628	0.5919323869
629	0.5905893104
630	0.5891698864
631	0.5881178915
632	0.5873765424
633	0.586339572
634	0.5854205742
635	0.5841693358
636	0.5830794586
637	0.5822098931
638	0.5811690893
639	0.5807568549
640	0.5802889762
641	0.57854764
642	0.5778487683
643	0.577050021
644	0.5759642912
645	0.5750824199
646	0.5740347647
647	0.5730692613
648	0.5718854173
649	0.5705834575
650	0.5695230599
651	0.568289811
652	0.5673346413
653	0.5663394647
654	0.5644187672
655	0.5635653907
656	0.5625473847
657	0.561818944
658	0.5607719172
659	0.5595946099
660	0.5587855826
661	0.5572300329
662	0.555938991
663	0.5549376385
664	0.5542009619
665	0.553373732
666	0.5527856199
667	0.5518515048
668	0.5504726925
669	0.5499958265
670	0.5494405783
671	0.5488804531
672	0.5481632518
673	0.5476586503
674	0.546850052
675	0.5454897513
676	0.5444177996
677	0.543742322
678	0.5430165343
679	0.5417434883
680	0.5410500151
681	0.5396509436
682	0.5387307525
683	0.538069792
684	0.536935375
685	0.5356946424
686	0.5347257811
687	0.5340065508
688	0.5329966176
689	0.532298693
690	0.5315549914
691	0.5300774086
692	0.5286786908
693	0.5278113545
694	0.5268078599
695	0.5257792086
696	0.5250928858
697	0.5246573137
698	0.5236483966
699	0.5228118458
700	0.5222836798
701	0.5211480418
702	0.5199461639
703	0.5190067597
704	0.5178211083
705	0.5168214777
706	0.516243147
707	0.5156482885
708	0.5148388966
709	0.5142014957
710	0.5134934716
711	0.5126467509
712	0.5120768871
713	0.51129011
714	0.510270635
715	0.5098154308
716	0.5083372082
717	0.5073914454
718	0.5062140707
719	0.5057575355
720	0.5049615965
721	0.5046033495
722	0.503688387
723	0.5028841097
724	0.5021052505
725	0.5013252839
726	0.5002801664
727	0.4996489636
728	0.4992521219
729	0.4976155467
730	0.4962532137
731	0.4954314614
732	0.4942819695
733	0.4935999837
734	0.4922545291
735	0.4914703041
736	0.4907582912
737	0.490316351
738	0.489447698
739	0.4884327728
740	0.4878436587
741	0.4870104662
742	0.4863712449
743	0.4855267873
744	0.4846876172
745	0.4830588196
746	0.4828368257
747	0.4820229201
748	0.4806736997
749	0.4791708325
750	0.478614304
751	0.478053385
752	0.4774828074
753	0.4768631982
754	0.4760731293
755	0.4754264867
756	0.4749167127
757	0.4741003508
758	0.4736700698
759	0.4726316109
760	0.4716038494
761	0.4703759316
762	0.4694211938
763	0.4690245521
764	0.4685318915
765	0.4678450343
766	0.4673714132
767	0.4669406446
768	0.4659585273
769	0.4654806153
770	0.4643056692
771	0.4636780706
772	0.4631090692
773	0.4628247197
774	0.4621995761
775	0.4615981565
776	0.4612147087
777	0.4605230142
778	0.4597527803
779	0.4592119146
780	0.4586343657
781	0.4582928651
782	0.457880665
783	0.4571668127
784	0.4564683964
785	0.4560190367
786	0.4551876606
787	0.4546560491
788	0.4537871783
789	0.4529823475
790	0.4524377156
791	0.4515010414
792	0.4505239827
793	0.4493860064
794	0.4483217189
795	0.4471875795
796	0.446449206
797	0.4458099926
798	0.4454397393
799	0.4448369057
800	0.4444805806
801	0.4441071969
802	0.4436870787
803	0.4428183997
804	0.4418802429
805	0.4415166736
806	0.441077347
807	0.4403942946
808	0.4397351502
809	0.4393142044
810	0.4384006175
811	0.4375829767
812	0.4368762036
813	0.4362275924
814	0.4357504247
815	0.4353118825
816	0.4345152593
817	0.4340727168
818	0.4329956751
819	0.4325764782
820	0.4315503687
821	0.43085204
822	0.4301883176
823	0.4295978119
824	0.4284662346
825	0.4275019529
826	0.4271454097
827	0.4264579276
828	0.4260749589
829	0.4254110006
830	0.424658414
831	0.4232670359
832	0.4224820993
833	0.4221390722
834	0.4217283819
835	0.4210879914
836	0.4200375678
837	0.419025666
838	0.4183987433
839	0.4178970378
840	0.4171596425
841	0.4169140051
842	0.4164845803
843	0.4156974935
844	0.4148190948
845	0.4144237791
846	0.4134254889
847	0.4128723084
848	0.4121779792
849	0.4115270067
850	0.411013291
851	0.4103906872
852	0.4097855938
853	0.4094668924
854	0.4091502425
855	0.4084450434
856	0.4077599218
857	0.4076307303
858	0.4068870113
859	0.4063167534
860	0.4058714505
861	0.4053394129
862	0.4046269238
863	0.4044509132
864	0.4036172387
865	0.4030836267
866	0.4027787124
867	0.4020285634
868	0.4012030225
869	0.4007918081
870	0.4004952512
871	0.4002768886
872	0.3997749384
873	0.3991336106
874	0.3981409945
875	0.3976466878
876	0.3971660131
877	0.3964134744
878	0.3960499678
879	0.3954565963
880	0.3950711577
881	0.3945471846
882	0.3936006607
883	0.3925600257
884	0.3920849932
885	0.3913239588
886	0.3908016193
887	0.3904834982
888	0.38980337
889	0.3893764576
890	0.3880125401
891	0.3875652046
892	0.3867902009
893	0.3861729298
894	0.3859285297
895	0.385328517
896	0.3848988277
897	0.3842429387
898	0.383928647
899	0.3834869529
900	0.382806743
901	0.3821360646
902	0.3818228522
903	0.3815647054
904	0.3811304954
905	0.3800575783
906	0.3794218361
907	0.3786382795
908	0.3778327444
909	0.3772938792
910	0.3767676555
911	0.3761806389
912	0.3755566109
913	0.3748442458
914	0.3740137223
915	0.3736286471
916	0.3730913731
917	0.3725894315
918	0.3722116175
919	0.3713459748
920	0.3704982639
921	0.3698333864
922	0.3689359664
923	0.3679544045
924	0.3671652066
925	0.3667818837
926	0.3664152406
927	0.36548073
928	0.3648534032
929	0.3641857485
930	0.3636560246
931	0.3628595791
932	0.3625808223
933	0.362305405
934	0.3616841555
935	0.3613856757
936	0.3610506602
937	0.3602139833
938	0.3595049523
939	0.3589969298
940	0.358758422
941	0.3584606815
942	0.3580873655
943	0.3575542614
944	0.3570430252
945	0.3563973439
946	0.3558614333
947	0.3555775223
948	0.3548484285
949	0.3543129588
950	0.3535662913
951	0.3530753844
952	0.3522438188
953	0.3515759066
954	0.3511120858
955	0.3501768954
956	0.3496224195
957	0.3487763583
958	0.3480172189
959	0.3468465922
960	0.3465257007
961	0.345759148
962	0.3451897101
963	0.3448530962
964	0.3442392331
965	0.3429929616
966	0.3426151757
967	0.3422691049
968	0.3420543223
969	0.341761025
970	0.3407729632
971	0.3402887551
972	0.339426858
973	0.338821369
974	0.3385371849
975	0.3380519644
976	0.3370501706
977	0.336594527
978	0.3362913127
979	0.3357869121
980	0.3355339347
981	0.3346478333
982	0.3339588929
983	0.3335185657
984	0.33303901
985	0.3324958693
986	0.3317231769
987	0.331501911
988	0.3308313507
989	0.3302826626
990	0.329964455
991	0.3296992075
992	0.3290187814
993	0.3285201247
994	0.328018439
995	0.327511828
996	0.3271822659
997	0.3269332197
998	0.3264629041
999	0.3257734167
