iter	Passed	Remaining
399	81930	122895
400	82128	122681
401	82316	122450
402	82519	122244
403	82710	122018
404	82912	121810
405	83103	121585
406	83311	121385
407	83530	121200
408	83880	121206
409	84176	121131
410	84486	121077
411	84837	121079
412	85127	120991
413	85381	120854
414	85624	120700
415	85787	120432
416	85972	120196
417	86214	120040
418	86452	119878
419	86674	119693
420	86822	119406
421	86977	119130
422	87140	118865
423	87372	118694
424	87600	118518
425	87768	118260
426	87937	118005
427	88100	117741
428	88312	117544
429	88470	117274
430	88615	116988
431	88757	116699
432	88901	116413
433	89046	116129
434	89200	115858
435	89349	115580
436	89492	115296
437	89644	115023
438	89788	114741
439	89943	114473
440	90089	114195
441	90253	113940
442	90464	113744
443	90696	113575
444	90883	113349
445	91034	113078
446	91184	112807
447	91337	112541
448	91490	112274
449	91652	112020
450	91830	111784
451	91979	111515
452	92181	111309
453	92372	111091
454	92583	110896
455	92747	110645
456	92895	110376
457	93050	110116
458	93225	109879
459	93373	109612
460	93524	109348
461	93664	109072
462	93811	108804
463	93953	108532
464	94100	108266
465	94240	107992
466	94391	107731
467	94548	107477
468	94738	107263
469	94990	107117
470	95279	107011
471	95458	106783
472	95606	106521
473	95746	106250
474	95896	105990
475	96042	105727
476	96191	105467
477	96351	105220
478	96547	105013
479	96751	104813
480	96925	104583
481	97114	104367
482	97300	104149
483	97481	103926
484	97658	103699
485	97850	103487
486	98020	103253
487	98192	103021
488	98351	102776
489	98537	102559
490	98734	102353
491	98894	102111
492	99059	101872
493	99234	101644
494	99408	101416
495	99569	101175
496	99731	100935
497	99897	100700
498	100064	100465
499	100241	100241
500	100401	100000
501	100567	99765
502	100738	99536
503	100893	99292
504	101061	99060
505	101231	98830
506	101393	98593
507	101577	98378
508	101745	98147
509	101912	97915
510	102086	97691
511	102281	97487
512	102466	97273
513	102629	97038
514	102792	96804
515	102956	96571
516	103137	96354
517	103306	96126
518	103459	95884
519	103610	95640
520	103759	95394
521	103937	95176
522	104156	94995
523	104299	94745
524	104446	94499
525	104593	94253
526	104764	94029
527	104939	93809
528	105116	93591
529	105286	93367
530	105442	93130
531	105583	92881
532	105735	92642
533	105881	92398
534	106035	92161
535	106183	91920
536	106346	91691
537	106519	91472
538	106671	91235
539	106832	91005
540	106972	90758
541	107117	90516
542	107278	90287
543	107424	90046
544	107572	89808
545	107725	89573
546	107880	89341
547	108107	89168
548	108303	88970
549	108589	88845
550	108819	88675
551	109021	88480
552	109275	88329
553	109495	88150
554	109718	87972
555	109918	87776
556	110128	87588
557	110360	87418
558	110619	87268
559	110922	87153
560	111166	86991
561	111374	86800
562	111713	86711
563	111917	86517
564	112131	86331
565	112416	86199
566	112619	86003
567	112837	85820
568	113134	85696
569	113442	85579
570	113698	85422
571	113962	85272
572	114183	85089
573	114430	84925
574	114756	84820
575	115035	84678
576	115300	84527
577	115529	84348
578	115794	84196
579	116041	84029
580	116282	83859
581	116455	83640
582	116646	83433
583	116811	83208
584	117011	83008
585	117165	82775
586	117335	82554
587	117561	82372
588	117756	82169
589	117908	81936
590	118051	81697
591	118203	81464
592	118343	81223
593	118492	80989
594	118636	80752
595	118785	80519
596	118926	80280
597	119072	80045
598	119223	79813
599	119381	79587
600	119552	79369
601	119716	79148
602	119872	78921
603	120017	78687
604	120162	78453
605	120307	78219
606	120450	77985
607	120599	77754
608	120740	77519
609	120908	77301
610	121091	77094
611	121257	76875
612	121396	76640
613	121546	76411
614	121690	76180
615	121837	75950
616	121983	75720
617	122130	75491
618	122276	75262
619	122422	75033
620	122564	74801
621	122706	74570
622	122857	74345
623	123020	74127
624	123165	73899
625	123332	73684
626	123528	73486
627	123683	73264
628	123828	73037
629	123973	72809
630	124121	72584
631	124267	72358
632	124408	72129
633	124588	71923
634	124798	71734
635	124953	71514
636	125096	71287
637	125246	71064
638	125393	70840
639	125540	70616
640	125692	70395
641	125837	70170
642	125979	69944
643	126122	69720
644	126289	69508
645	126438	69286
646	126595	69069
647	126776	68866
648	126946	68656
649	127090	68433
650	127238	68212
651	127391	67993
652	127539	67773
653	127703	67561
654	127877	67355
655	128034	67139
656	128189	66923
657	128338	66704
658	128508	66496
659	128655	66277
660	128806	66059
661	128953	65840
662	129111	65626
663	129278	65418
664	129436	65204
665	129585	64987
666	129770	64787
667	129949	64585
668	130205	64421
669	130375	64214
670	130577	64023
671	130809	63847
672	131140	63719
673	131372	63542
674	131585	63356
675	131797	63169
676	132077	63014
677	132288	62827
678	132478	62629
679	132696	62445
680	132858	62234
681	133038	62032
682	133182	61813
683	133398	61628
684	133572	61424
685	133749	61220
686	133916	61012
687	134093	60809
688	134285	60613
689	134500	60427
690	134690	60230
691	134882	60034
692	135047	59826
693	135251	59635
694	135478	59454
695	135761	59298
696	136012	59127
697	136249	58950
698	136475	58768
699	136662	58569
700	136825	58360
701	136969	58143
702	137199	57963
703	137369	57757
704	137519	57543
705	137661	57326
706	137803	57109
707	137944	56892
708	138090	56677
709	138243	56465
710	138389	56251
711	138531	56035
712	138687	55825
713	138913	55643
714	139125	55455
715	139318	55260
716	139467	55048
717	139615	54835
718	139762	54621
719	139900	54405
720	140048	54193
721	140189	53978
722	140335	53766
723	140510	53564
724	140774	53397
725	140966	53202
726	141114	52990
727	141254	52776
728	141439	52578
729	141663	52396
730	141810	52184
731	141954	51972
732	142102	51761
733	142347	51586
734	142494	51375
735	142641	51164
736	142784	50952
737	142967	50755
738	143112	50544
739	143265	50336
740	143407	50125
741	143553	49914
742	143694	49703
743	143842	49494
744	143983	49283
745	144134	49075
746	144274	48864
747	144440	48661
748	144614	48462
749	144766	48255
750	144907	48045
751	145053	47836
752	145194	47626
753	145340	47418
754	145481	47209
755	145628	47001
756	145769	46792
757	145937	46592
758	146122	46397
759	146310	46203
760	146465	45998
761	146696	45818
762	146895	45628
763	147093	45437
764	147252	45234
765	147400	45028
766	147540	44820
767	147690	44614
768	147837	44408
769	148010	44211
770	148180	44012
771	148343	43811
772	148490	43605
773	148665	43408
774	148828	43208
775	148988	43006
776	149148	42805
777	149315	42606
778	149479	42407
779	149646	42208
780	149829	42013
781	149970	41807
782	150115	41603
783	150266	41399
784	150408	41194
785	150548	40988
786	150694	40785
787	150836	40580
788	150980	40376
789	151125	40172
790	151270	39968
791	151442	39772
792	151609	39575
793	151760	39373
794	151904	39170
795	152055	38969
796	152198	38765
797	152356	38566
798	152498	38363
799	152642	38160
800	152780	37956
801	152922	37753
802	153068	37552
803	153225	37353
804	153368	37151
805	153508	36948
806	153648	36746
807	153828	36553
808	154013	36361
809	154158	36160
810	154324	35964
811	154491	35768
812	154633	35567
813	154780	35367
814	154921	35166
